Week	Day	Shift	Weld L1	Weld L2
1	1	1	435	464	
1	1	2	453	486	
1	2	1	516	475	
1	2	2	496	467	
1	3	1	475	454	
1	3	2	475	471	
1	4	1	475	508	
1	4	2	475	475	
1	5	1	475	475	
1	5	2	456	475	
2	1	1	490	475	
2	1	2	453	475	
2	2	1	477	471	
2	2	2	465	479	
2	3	1	508	475	
2	3	2	455	475	
2	4	1	433	475	
2	4	2	493	475	
2	5	1	520	475	
2	5	2	475	475	
3	1	1	475	475	
3	1	2	475	475	
3	2	1	475	475	
3	2	2	475	475	
3	3	1	475	475	
3	3	2	472	452	
3	4	1	446	498	
3	4	2	495	475	
3	5	1	487	475	
3	5	2	475	475	
4	1	1	475	475	
4	1	2	458	475	
4	2	1	460	475	
4	2	2	498	475	
4	3	1	484	475	
4	3	2	475	475	
4	4	1	475	475	
4	4	2	475	465	
4	5	1	466	485	
4	5	2	472	440	
5	1	1	487	479	
5	1	2	475	487	
5	2	1	475	454	
5	2	2	475	475	
5	3	1	471	492	
5	3	2	479	497	
5	4	1	448	449	
5	4	2	502	495	
5	5	1	475	482	
5	5	2	474	475	
6	1	1	476	475	
6	1	2	466	447	
6	2	1	438	482	
6	2	2	446	467	
6	3	1	451	480	
6	3	2	496	474	
6	4	1	475	464	
6	4	2	503	500	
6	5	1	487	486	
6	5	2	456	475	
7	1	1	452	472	
7	1	2	502	478	
7	2	1	480	475	
7	2	2	498	475	
7	3	1	499	475	
7	3	2	425	475	
7	4	1	475	475	
7	4	2	514	475	
7	5	1	487	475	
7	5	2	475	475	
8	1	1	434	475	
8	1	2	477	475	
8	2	1	480	475	
8	2	2	501	465	
8	3	1	439	485	
8	3	2	478	475	
8	4	1	466	469	
8	4	2	517	481	
8	5	1	483	475	
8	5	2	475	475	
