Week	Day	Shift	Weld L1	Weld L2
1	1	1	475	428	
1	1	2	475	522	
1	2	1	475	475	
1	2	2	413	475	
1	3	1	470	451	
1	3	2	480	453	
1	4	1	489	465	
1	4	2	434	462	
1	5	1	488	470	
1	5	2	499	491	
2	1	1	469	504	
2	1	2	532	504	
2	2	1	476	475	
2	2	2	475	456	
2	3	1	434	494	
2	3	2	463	475	
2	4	1	528	471	
2	4	2	475	479	
2	5	1	475	475	
2	5	2	475	475	
3	1	1	475	471	
3	1	2	467	479	
3	2	1	472	475	
3	2	2	486	475	
3	3	1	475	449	
3	3	2	475	453	
3	4	1	475	494	
3	4	2	465	498	
3	5	1	485	447	
3	5	2	466	500	
4	1	1	442	484	
4	1	2	485	475	
4	2	1	497	475	
4	2	2	485	462	
4	3	1	475	477	
4	3	2	475	486	
4	4	1	475	475	
4	4	2	475	475	
4	5	1	475	475	
4	5	2	475	475	
5	1	1	475	471	
5	1	2	475	479	
5	2	1	459	475	
5	2	2	491	475	
5	3	1	475	474	
5	3	2	456	476	
5	4	1	480	475	
5	4	2	489	465	
5	5	1	475	427	
5	5	2	475	469	
6	1	1	475	456	
6	1	2	475	478	
6	2	1	475	453	
6	2	2	475	490	
6	3	1	475	487	
6	3	2	474	464	
6	4	1	476	522	
6	4	2	475	494	
6	5	1	475	467	
6	5	2	475	476	
7	1	1	441	499	
7	1	2	509	478	
7	2	1	475	475	
7	2	2	475	475	
7	3	1	475	475	
7	3	2	475	475	
7	4	1	424	475	
7	4	2	526	457	
7	5	1	475	490	
7	5	2	475	478	
8	1	1	475	449	
8	1	2	449	501	
8	2	1	485	475	
8	2	2	485	475	
8	3	1	472	475	
8	3	2	474	468	
8	4	1	484	474	
8	4	2	476	448	
8	5	1	475	487	
8	5	2	475	498	
