Week	Day	Shift	Weld L1	Weld L2
1	1	1	475	475	
1	1	2	475	462	
1	2	1	475	488	
1	2	2	444	475	
1	3	1	506	474	
1	3	2	475	476	
1	4	1	475	475	
1	4	2	475	436	
1	5	1	475	483	
1	5	2	475	488	
2	1	1	475	484	
2	1	2	475	454	
2	2	1	475	457	
2	2	2	475	485	
2	3	1	475	511	
2	3	2	475	470	
2	4	1	430	482	
2	4	2	441	475	
2	5	1	458	475	
2	5	2	428	430	
3	1	1	492	490	
3	1	2	490	505	
3	2	1	477	475	
3	2	2	464	475	
3	3	1	497	475	
3	3	2	501	475	
3	4	1	522	468	
3	4	2	500	482	
3	5	1	475	475	
3	5	2	475	475	
4	1	1	475	469	
4	1	2	475	481	
4	2	1	475	421	
4	2	2	475	495	
4	3	1	475	462	
4	3	2	475	490	
4	4	1	470	500	
4	4	2	426	337	
4	5	1	481	507	
4	5	2	509	492	
5	1	1	463	517	
5	1	2	284	460	
5	2	1	451	493	
5	2	2	511	478	
5	3	1	511	489	
5	3	2	500	498	
5	4	1	446	486	
5	4	2	493	475	
5	5	1	527	460	
5	5	2	466	438	
6	1	1	528	489	
6	1	2	490	491	
6	2	1	453	492	
6	2	2	468	472	
6	3	1	467	483	
6	3	2	444	475	
6	4	1	503	475	
6	4	2	477	475	
6	5	1	461	446	
6	5	2	487	504	
7	1	1	533	475	
7	1	2	501	475	
7	2	1	465	471	
7	2	2	433	479	
7	3	1	500	475	
7	3	2	477	442	
7	4	1	493	508	
7	4	2	482	475	
7	5	1	475	475	
7	5	2	475	475	
8	1	1	468	475	
8	1	2	482	475	
8	2	1	445	475	
8	2	2	505	443	
8	3	1	475	488	
8	3	2	428	494	
8	4	1	509	475	
8	4	2	455	475	
8	5	1	462	475	
8	5	2	516	472	
