Week	Day	Shift	Weld L1	Weld L2
1	1	1	435	464	
1	1	2	453	486	
1	2	1	516	475	
1	2	2	495	467	
1	3	1	476	454	
1	3	2	475	471	
1	4	1	475	508	
1	4	2	475	475	
1	5	1	475	475	
1	5	2	455	475	
2	1	1	490	475	
2	1	2	453	475	
2	2	1	476	471	
2	2	2	466	478	
2	3	1	509	476	
2	3	2	456	475	
2	4	1	432	475	
2	4	2	493	475	
2	5	1	520	475	
2	5	2	475	475	
3	1	1	475	475	
3	1	2	475	475	
3	2	1	475	475	
3	2	2	475	475	
3	3	1	475	475	
3	3	2	472	452	
3	4	1	446	498	
3	4	2	494	475	
3	5	1	488	475	
3	5	2	475	475	
4	1	1	475	475	
4	1	2	475	475	
4	2	1	458	475	
4	2	2	492	475	
4	3	1	475	475	
4	3	2	475	475	
4	4	1	475	475	
4	4	2	475	465	
4	5	1	465	485	
4	5	2	473	440	
5	1	1	487	478	
5	1	2	475	489	
5	2	1	475	455	
5	2	2	475	473	
5	3	1	468	491	
5	3	2	482	499	
5	4	1	448	448	
5	4	2	502	494	
5	5	1	475	483	
5	5	2	474	475	
6	1	1	476	475	
6	1	2	465	448	
6	2	1	438	481	
6	2	2	446	467	
6	3	1	451	480	
6	3	2	496	474	
6	4	1	475	464	
6	4	2	536	500	
6	5	1	483	486	
6	5	2	458	475	
7	1	1	452	472	
7	1	2	505	478	
7	2	1	485	475	
7	2	2	485	475	
7	3	1	475	475	
