Week	Day	Shift	Weld L1	Weld L2
1	1	1	475	475	
1	1	2	475	450	
1	2	1	475	488	
1	2	2	475	479	
1	3	1	475	483	
1	3	2	475	475	
1	4	1	475	472	
1	4	2	475	478	
1	5	1	475	475	
1	5	2	475	424	
2	1	1	475	493	
2	1	2	462	505	
2	2	1	425	437	
2	2	2	450	516	
2	3	1	490	475	
2	3	2	458	475	
2	4	1	484	475	
2	4	2	465	468	
2	5	1	498	482	
2	5	2	495	475	
3	1	1	469	475	
3	1	2	509	475	
3	2	1	495	475	
3	2	2	475	475	
3	3	1	475	474	
3	3	2	475	476	
3	4	1	465	475	
3	4	2	485	475	
3	5	1	475	475	
3	5	2	475	475	
4	1	1	475	475	
4	1	2	458	475	
4	2	1	487	471	
4	2	2	480	479	
4	3	1	475	471	
4	3	2	475	439	
4	4	1	475	515	
4	4	2	475	475	
4	5	1	469	475	
4	5	2	464	475	
5	1	1	485	475	
5	1	2	482	475	
5	2	1	475	475	
5	2	2	475	475	
5	3	1	474	475	
5	3	2	455	475	
5	4	1	475	475	
5	4	2	496	462	
5	5	1	470	484	
5	5	2	480	479	
6	1	1	475	455	
6	1	2	475	458	
6	2	1	475	466	
6	2	2	475	521	
6	3	1	475	439	
6	3	2	475	494	
6	4	1	472	466	
6	4	2	473	501	
6	5	1	480	475	
6	5	2	473	475	
7	1	1	477	475	
7	1	2	475	475	
7	2	1	475	475	
7	2	2	475	458	
7	3	1	471	488	
7	3	2	479	479	
7	4	1	471	448	
7	4	2	479	465	
7	5	1	475	482	
7	5	2	468	477	
8	1	1	482	493	
8	1	2	465	485	
8	2	1	485	475	
8	2	2	458	475	
8	3	1	492	439	
8	3	2	475	492	
8	4	1	475	493	
8	4	2	475	476	
8	5	1	475	475	
8	5	2	475	470	
