Week	Day	Shift	Weld L1	Weld L2
1	1	1	475	475	
1	1	2	475	475	
1	2	1	446	475	
1	2	2	444	475	
1	3	1	488	475	
1	3	2	477	473	
1	4	1	463	477	
1	4	2	475	475	
1	5	1	490	475	
1	5	2	397	475	
2	1	1	490	469	
2	1	2	502	464	
2	2	1	492	473	
2	2	2	463	467	
2	3	1	476	484	
2	3	2	477	491	
2	4	1	478	477	
2	4	2	479	475	
2	5	1	476	475	
2	5	2	444	475	
3	1	1	506	474	
3	1	2	507	476	
3	2	1	505	412	
3	2	2	462	522	
3	3	1	488	491	
3	3	2	475	475	
3	4	1	475	475	
3	4	2	475	475	
3	5	1	376	475	
3	5	2	448	459	
4	1	1	475	478	
4	1	2	503	488	
4	2	1	463	475	
4	2	2	512	475	
4	3	1	492	475	
4	3	2	510	475	
4	4	1	480	475	
4	4	2	478	475	
4	5	1	483	472	
4	5	2	480	478	
5	1	1	475	475	
5	1	2	475	466	
5	2	1	475	465	
5	2	2	462	494	
5	3	1	488	474	
5	3	2	475	475	
5	4	1	475	476	
5	4	2	460	475	
5	5	1	451	475	
5	5	2	496	471	
6	1	1	464	479	
6	1	2	475	475	
6	2	1	504	475	
6	2	2	444	475	
6	3	1	505	475	
6	3	2	476	475	
6	4	1	475	475	
6	4	2	475	467	
6	5	1	475	483	
6	5	2	447	444	
7	1	1	503	484	
7	1	2	475	486	
7	2	1	457	486	
7	2	2	493	472	
7	3	1	475	478	
7	3	2	475	475	
7	4	1	475	475	
7	4	2	464	470	
7	5	1	484	465	
7	5	2	477	478	
8	1	1	475	448	
8	1	2	475	489	
8	2	1	475	466	
8	2	2	475	465	
8	3	1	475	486	
8	3	2	475	486	
8	4	1	475	496	
8	4	2	462	476	
8	5	1	488	475	
8	5	2	475	468	
