Week	Day	Shift	Weld L1	Weld L2
1	1	1	475	457	
1	1	2	475	485	
1	2	1	444	483	
1	2	2	459	475	
1	3	1	500	475	
1	3	2	496	475	
1	4	1	476	475	
1	4	2	459	475	
1	5	1	491	475	
1	5	2	475	475	
2	1	1	475	475	
2	1	2	475	469	
2	2	1	475	481	
2	2	2	475	450	
2	3	1	475	443	
2	3	2	464	480	
2	4	1	486	489	
2	4	2	475	513	
2	5	1	475	463	
2	5	2	449	487	
3	1	1	427	474	
3	1	2	485	476	
3	2	1	526	462	
3	2	2	477	488	
3	3	1	486	475	
3	3	2	474	444	
3	4	1	464	489	
3	4	2	462	469	
3	5	1	500	484	
3	5	2	460	489	
4	1	1	490	420	
4	1	2	454	474	
4	2	1	491	507	
4	2	2	480	485	
4	3	1	475	489	
4	3	2	475	475	
4	4	1	475	475	
4	4	2	470	475	
4	5	1	466	475	
4	5	2	489	475	
5	1	1	475	464	
5	1	2	469	486	
5	2	1	463	443	
5	2	2	474	501	
5	3	1	494	481	
5	3	2	475	475	
5	4	1	475	475	
5	4	2	475	475	
5	5	1	475	475	
5	5	2	475	468	
6	1	1	475	464	
6	1	2	475	493	
6	2	1	440	466	
6	2	2	455	484	
6	3	1	479	446	
6	3	2	438	461	
6	4	1	503	467	
6	4	2	516	515	
6	5	1	492	486	
6	5	2	477	475	
7	1	1	475	475	
7	1	2	475	475	
7	2	1	475	475	
7	2	2	475	475	
7	3	1	475	475	
7	3	2	475	452	
7	4	1	475	492	
7	4	2	475	481	
7	5	1	475	472	
7	5	2	475	478	
8	1	1	475	475	
8	1	2	475	475	
8	2	1	475	473	
8	2	2	475	477	
8	3	1	452	475	
8	3	2	477	472	
8	4	1	484	478	
8	4	2	487	475	
8	5	1	475	475	
8	5	2	475	473	
