Week	Day	Shift	Weld L1	Weld L2
1	1	1	475	475	
1	1	2	475	475	
1	2	1	475	475	
1	2	2	475	475	
1	3	1	464	475	
1	3	2	486	451	
1	4	1	475	499	
1	4	2	447	464	
1	5	1	486	480	
1	5	2	492	481	
2	1	1	475	475	
2	1	2	475	475	
2	2	1	475	475	
2	2	2	475	467	
2	3	1	475	462	
2	3	2	475	496	
2	4	1	475	475	
2	4	2	475	475	
2	5	1	475	475	
2	5	2	475	475	
3	1	1	471	446	
3	1	2	459	477	
3	2	1	482	502	
3	2	2	488	475	
3	3	1	475	475	
3	3	2	475	475	
3	4	1	435	468	
3	4	2	515	482	
3	5	1	466	475	
3	5	2	484	475	
4	1	1	475	462	
4	1	2	472	488	
4	2	1	478	475	
4	2	2	475	475	
4	3	1	439	475	
4	3	2	479	475	
4	4	1	470	434	
4	4	2	461	489	
4	5	1	475	502	
4	5	2	464	442	
5	1	1	485	482	
5	1	2	473	489	
5	2	1	458	462	
5	2	2	522	500	
5	3	1	494	475	
5	3	2	480	475	
5	4	1	475	475	
5	4	2	475	475	
5	5	1	475	475	
5	5	2	475	438	
6	1	1	475	485	
6	1	2	475	470	
6	2	1	475	475	
6	2	2	475	500	
6	3	1	475	482	
6	3	2	454	475	
6	4	1	490	475	
6	4	2	481	475	
6	5	1	475	475	
6	5	2	475	474	
7	1	1	475	476	
7	1	2	475	454	
7	2	1	475	487	
7	2	2	475	484	
7	3	1	475	456	
7	3	2	457	478	
7	4	1	493	491	
7	4	2	422	475	
7	5	1	489	475	
7	5	2	477	475	
8	1	1	512	462	
8	1	2	475	456	
8	2	1	469	479	
8	2	2	481	450	
8	3	1	450	493	
8	3	2	427	464	
8	4	1	508	508	
8	4	2	476	488	
8	5	1	514	475	
8	5	2	466	475	
