Week	Day	Shift	Weld L1	Weld L2
1	1	1	475	475	
1	1	2	475	475	
1	2	1	471	475	
1	2	2	479	475	
1	3	1	475	475	
1	3	2	471	475	
1	4	1	472	475	
1	4	2	482	466	
1	5	1	475	472	
1	5	2	475	487	
2	1	1	475	475	
2	1	2	475	475	
2	2	1	451	475	
2	2	2	491	475	
2	3	1	463	475	
2	3	2	486	475	
2	4	1	484	475	
2	4	2	471	475	
2	5	1	479	475	
2	5	2	475	467	
3	1	1	471	477	
3	1	2	479	481	
3	2	1	475	475	
3	2	2	474	475	
3	3	1	457	475	
3	3	2	473	475	
3	4	1	478	475	
3	4	2	493	475	
3	5	1	470	475	
3	5	2	480	475	
4	1	1	475	475	
4	1	2	475	475	
4	2	1	475	475	
4	2	2	475	475	
4	3	1	475	475	
4	3	2	387	475	
4	4	1	510	475	
4	4	2	444	475	
4	5	1	480	475	
4	5	2	470	475	
5	1	1	454	475	
5	1	2	493	475	
5	2	1	493	440	
5	2	2	511	454	
5	3	1	508	468	
5	3	2	475	462	
5	4	1	475	484	
5	4	2	472	522	
5	5	1	478	495	
5	5	2	475	475	
6	1	1	433	468	
6	1	2	454	474	
6	2	1	503	483	
6	2	2	500	475	
6	3	1	485	475	
6	3	2	475	475	
6	4	1	475	475	
6	4	2	455	475	
6	5	1	446	475	
6	5	2	510	474	
7	1	1	463	476	
7	1	2	501	475	
7	2	1	475	452	
7	2	2	475	485	
7	3	1	475	488	
7	3	2	475	475	
7	4	1	475	475	
7	4	2	475	458	
7	5	1	475	487	
7	5	2	475	475	
8	1	1	475	442	
8	1	2	475	509	
8	2	1	451	455	
8	2	2	499	499	
8	3	1	475	475	
8	3	2	475	424	
8	4	1	453	461	
8	4	2	497	485	
8	5	1	469	529	
8	5	2	475	476	
