Week	Day	Shift	Weld L1	Weld L2
1	1	1	435	464	
1	1	2	453	486	
1	2	1	516	475	
1	2	2	495	467	
1	3	1	476	454	
1	3	2	475	471	
1	4	1	475	508	
1	4	2	475	475	
1	5	1	475	475	
1	5	2	455	475	
2	1	1	490	475	
2	1	2	453	475	
2	2	1	477	471	
2	2	2	465	479	
2	3	1	509	475	
2	3	2	456	475	
2	4	1	432	475	
2	4	2	493	475	
2	5	1	520	475	
2	5	2	475	475	
3	1	1	475	475	
3	1	2	475	475	
3	2	1	475	475	
3	2	2	475	475	
3	3	1	475	475	
3	3	2	421	451	
3	4	1	448	499	
3	4	2	492	475	
3	5	1	518	475	
3	5	2	496	475	
4	1	1	475	475	
4	1	2	475	475	
4	2	1	458	475	
4	2	2	492	475	
4	3	1	475	475	
4	3	2	475	475	
4	4	1	475	475	
4	4	2	475	464	
4	5	1	466	486	
4	5	2	473	440	
5	1	1	486	479	
5	1	2	475	489	
5	2	1	475	455	
5	2	2	475	474	
5	3	1	472	492	
5	3	2	478	496	
5	4	1	448	448	
5	4	2	502	494	
5	5	1	475	483	
5	5	2	474	475	
6	1	1	476	475	
6	1	2	466	446	
6	2	1	437	480	
6	2	2	446	468	
6	3	1	451	481	
6	3	2	496	473	
6	4	1	476	466	
6	4	2	536	500	
6	5	1	483	486	
6	5	2	457	475	
7	1	1	452	471	
7	1	2	504	479	
7	2	1	485	475	
7	2	2	486	475	
7	3	1	475	475	
7	3	2	350	475	
7	4	1	478	475	
7	4	2	500	475	
7	5	1	515	475	
7	5	2	532	475	
8	1	1	434	475	
8	1	2	477	267	
8	2	1	514	483	
8	2	2	475	385	
8	3	1	442	535	
8	3	2	502	504	
8	4	1	460	470	
8	4	2	297	371	
8	5	1	511	513	
8	5	2	517	512	
