Week	Day	Shift	Weld L1	Weld L2
1	1	1	475	475	
1	1	2	475	475	
1	2	1	475	475	
1	2	2	475	475	
1	3	1	464	475	
1	3	2	486	451	
1	4	1	475	499	
1	4	2	447	465	
1	5	1	486	480	
1	5	2	492	480	
2	1	1	475	475	
2	1	2	475	475	
2	2	1	475	475	
2	2	2	475	465	
2	3	1	463	463	
2	3	2	487	497	
2	4	1	475	475	
2	4	2	475	475	
2	5	1	475	475	
2	5	2	475	475	
3	1	1	470	446	
3	1	2	460	476	
3	2	1	482	502	
3	2	2	488	476	
3	3	1	475	475	
3	3	2	475	475	
3	4	1	434	468	
3	4	2	516	482	
3	5	1	466	475	
3	5	2	484	475	
4	1	1	475	463	
4	1	2	473	487	
4	2	1	477	475	
4	2	2	475	475	
4	3	1	439	475	
4	3	2	479	475	
4	4	1	469	435	
4	4	2	462	488	
4	5	1	467	502	
4	5	2	469	442	
5	1	1	488	481	
5	1	2	472	489	
5	2	1	453	463	
5	2	2	526	500	
5	3	1	495	475	
5	3	2	481	475	
5	4	1	475	475	
5	4	2	475	475	
5	5	1	475	475	
5	5	2	475	439	
6	1	1	475	484	
6	1	2	475	470	
6	2	1	475	476	
6	2	2	475	499	
6	3	1	475	482	
6	3	2	455	475	
6	4	1	490	475	
6	4	2	480	475	
6	5	1	475	475	
6	5	2	475	474	
7	1	1	475	476	
7	1	2	475	453	
7	2	1	475	487	
7	2	2	475	485	
7	3	1	475	456	
7	3	2	457	479	
7	4	1	493	490	
7	4	2	475	475	
7	5	1	475	475	
7	5	2	475	475	
8	1	1	475	462	
8	1	2	475	456	
8	2	1	468	481	
8	2	2	482	448	
8	3	1	449	493	
8	3	2	482	464	
8	4	1	494	508	
8	4	2	463	488	
8	5	1	487	475	
8	5	2	465	475	
