Week	Day	Shift	Weld L1	Weld L2
1	1	1	475	475	
1	1	2	475	475	
1	2	1	475	438	
1	2	2	466	512	
1	3	1	463	475	
1	3	2	442	475	
1	4	1	490	475	
1	4	2	469	443	
1	5	1	451	448	
1	5	2	477	489	
2	1	1	503	494	
2	1	2	514	495	
2	2	1	448	468	
2	2	2	468	485	
2	3	1	509	478	
2	3	2	451	475	
2	4	1	496	475	
2	4	2	478	421	
2	5	1	440	453	
2	5	2	503	519	
3	1	1	482	479	
3	1	2	475	490	
3	2	1	475	488	
3	2	2	457	467	
3	3	1	433	483	
3	3	2	526	475	
3	4	1	456	475	
3	4	2	503	475	
3	5	1	475	475	
3	5	2	465	472	
4	1	1	482	478	
4	1	2	478	475	
4	2	1	475	451	
4	2	2	475	497	
4	3	1	475	477	
4	3	2	470	475	
4	4	1	451	475	
4	4	2	504	475	
4	5	1	475	475	
4	5	2	475	457	
5	1	1	412	493	
5	1	2	460	475	
5	2	1	462	475	
5	2	2	507	470	
5	3	1	506	480	
5	3	2	479	475	
5	4	1	499	475	
5	4	2	475	475	
5	5	1	475	475	
5	5	2	464	475	
6	1	1	486	475	
6	1	2	475	475	
6	2	1	436	452	
6	2	2	506	498	
6	3	1	478	475	
6	3	2	454	475	
6	4	1	501	475	
6	4	2	432	472	
6	5	1	476	443	
6	5	2	447	510	
7	1	1	509	475	
7	1	2	440	448	
7	2	1	477	483	
7	2	2	511	487	
7	3	1	508	482	
7	3	2	475	475	
7	4	1	475	475	
7	4	2	475	475	
7	5	1	472	445	
7	5	2	424	505	
8	1	1	502	475	
8	1	2	502	475	
8	2	1	475	475	
8	2	2	475	369	
8	3	1	475	435	
8	3	2	469	467	
8	4	1	459	486	
8	4	2	444	458	
8	5	1	494	498	
8	5	2	501	471	
