Week	Day	Shift	Weld L1	Weld L2
1	1	1	475	475	
1	1	2	475	475	
1	2	1	434	462	
1	2	2	505	488	
1	3	1	451	475	
1	3	2	465	475	
1	4	1	492	475	
1	4	2	490	475	
1	5	1	452	474	
1	5	2	511	450	
2	1	1	475	470	
2	1	2	475	465	
2	2	1	475	476	
2	2	2	475	515	
2	3	1	473	454	
2	3	2	462	463	
2	4	1	477	508	
2	4	2	488	475	
2	5	1	473	475	
2	5	2	477	457	
3	1	1	465	481	
3	1	2	461	487	
3	2	1	482	475	
3	2	2	458	475	
3	3	1	503	475	
3	3	2	481	475	
3	4	1	475	475	
3	4	2	475	475	
3	5	1	475	475	
3	5	2	471	475	
4	1	1	479	475	
4	1	2	475	475	
4	2	1	475	475	
4	2	2	450	475	
4	3	1	500	474	
4	3	2	475	476	
4	4	1	475	450	
4	4	2	475	500	
4	5	1	446	475	
4	5	2	467	475	
5	1	1	502	475	
5	1	2	485	460	
5	2	1	475	490	
5	2	2	475	475	
5	3	1	475	463	
5	3	2	472	480	
5	4	1	456	480	
5	4	2	442	477	
5	5	1	514	475	
5	5	2	485	475	
6	1	1	481	465	
6	1	2	475	485	
6	2	1	475	470	
6	2	2	475	480	
6	3	1	475	475	
6	3	2	455	475	
6	4	1	495	475	
6	4	2	475	475	
6	5	1	475	475	
6	5	2	466	475	
7	1	1	484	475	
7	1	2	475	475	
7	2	1	456	465	
7	2	2	494	472	
7	3	1	475	488	
7	3	2	475	445	
7	4	1	471	505	
7	4	2	479	460	
7	5	1	475	490	
7	5	2	415	475	
8	1	1	511	475	
8	1	2	499	475	
8	2	1	475	475	
8	2	2	458	475	
8	3	1	492	475	
8	3	2	475	464	
8	4	1	475	486	
8	4	2	475	475	
8	5	1	473	475	
8	5	2	477	475	
