Week	Day	Shift	Weld L1	Weld L2
1	1	1	475	475	
1	1	2	475	475	
1	2	1	475	438	
1	2	2	466	512	
1	3	1	463	475	
1	3	2	442	475	
1	4	1	490	475	
1	4	2	469	443	
1	5	1	451	449	
1	5	2	476	490	
2	1	1	504	495	
2	1	2	514	491	
2	2	1	446	469	
2	2	2	469	486	
2	3	1	504	477	
2	3	2	447	475	
2	4	1	506	475	
2	4	2	478	421	
2	5	1	461	457	
2	5	2	489	518	
3	1	1	475	479	
3	1	2	475	491	
3	2	1	475	484	
3	2	2	457	467	
3	3	1	433	483	
3	3	2	526	475	
3	4	1	456	475	
3	4	2	503	475	
3	5	1	475	475	
3	5	2	467	473	
4	1	1	480	477	
4	1	2	478	475	
4	2	1	475	450	
4	2	2	475	497	
4	3	1	475	478	
4	3	2	470	475	
4	4	1	451	475	
4	4	2	504	475	
4	5	1	475	475	
4	5	2	475	457	
5	1	1	412	493	
5	1	2	460	475	
5	2	1	461	475	
5	2	2	507	470	
5	3	1	507	480	
5	3	2	480	475	
5	4	1	498	475	
5	4	2	475	475	
5	5	1	475	475	
5	5	2	464	475	
6	1	1	486	475	
6	1	2	475	475	
6	2	1	436	453	
6	2	2	508	497	
6	3	1	464	475	
6	3	2	452	475	
6	4	1	515	475	
6	4	2	433	472	
6	5	1	474	443	
6	5	2	477	510	
7	1	1	504	475	
7	1	2	435	448	
7	2	1	475	483	
7	2	2	505	486	
7	3	1	497	483	
7	3	2	475	475	
7	4	1	475	475	
7	4	2	475	475	
7	5	1	473	443	
7	5	2	423	507	
8	1	1	501	475	
8	1	2	503	475	
8	2	1	475	475	
8	2	2	475	475	
8	3	1	475	475	
8	3	2	424	475	
8	4	1	456	475	
8	4	2	450	457	
8	5	1	498	493	
8	5	2	499	468	
