Week	Day	Shift	Weld L1	Weld L2
1	1	1	475	428	
1	1	2	475	522	
1	2	1	475	475	
1	2	2	413	475	
1	3	1	469	452	
1	3	2	480	452	
1	4	1	490	464	
1	4	2	432	461	
1	5	1	489	470	
1	5	2	497	492	
2	1	1	469	505	
2	1	2	533	504	
2	2	1	478	475	
2	2	2	475	455	
2	3	1	434	495	
2	3	2	465	475	
2	4	1	526	471	
2	4	2	475	479	
2	5	1	475	475	
2	5	2	475	475	
3	1	1	475	472	
3	1	2	467	478	
3	2	1	471	475	
3	2	2	487	475	
3	3	1	475	449	
3	3	2	474	454	
3	4	1	476	495	
3	4	2	464	496	
3	5	1	486	446	
3	5	2	466	501	
4	1	1	442	484	
4	1	2	485	475	
4	2	1	498	475	
4	2	2	484	462	
4	3	1	475	477	
4	3	2	475	486	
4	4	1	475	475	
4	4	2	475	475	
4	5	1	475	475	
4	5	2	475	475	
5	1	1	475	470	
5	1	2	475	480	
5	2	1	458	475	
5	2	2	492	475	
5	3	1	475	474	
5	3	2	457	476	
5	4	1	480	475	
5	4	2	488	465	
5	5	1	475	427	
5	5	2	475	469	
6	1	1	475	456	
6	1	2	475	478	
6	2	1	475	455	
6	2	2	475	490	
6	3	1	475	486	
6	3	2	474	464	
6	4	1	476	521	
6	4	2	475	494	
6	5	1	475	467	
6	5	2	475	424	
7	1	1	441	499	
7	1	2	509	512	
7	2	1	475	493	
7	2	2	475	475	
7	3	1	475	475	
7	3	2	475	475	
7	4	1	425	475	
7	4	2	525	458	
7	5	1	475	492	
7	5	2	475	475	
8	1	1	475	449	
8	1	2	450	501	
8	2	1	484	475	
8	2	2	484	475	
8	3	1	472	475	
8	3	2	475	475	
8	4	1	454	475	
8	4	2	491	440	
8	5	1	487	487	
8	5	2	478	498	
