Week	Day	Shift	Weld L1	Weld L2
1	1	1	475	475	
1	1	2	475	475	
1	2	1	475	475	
1	2	2	475	475	
1	3	1	463	475	
1	3	2	487	451	
1	4	1	475	499	
1	4	2	447	465	
1	5	1	485	480	
1	5	2	493	480	
2	1	1	475	475	
2	1	2	475	475	
2	2	1	475	475	
2	2	2	475	467	
2	3	1	475	462	
2	3	2	475	496	
2	4	1	452	475	
2	4	2	498	475	
2	5	1	475	475	
2	5	2	475	475	
3	1	1	472	446	
3	1	2	461	477	
3	2	1	482	501	
3	2	2	485	476	
3	3	1	475	475	
3	3	2	475	475	
3	4	1	434	468	
3	4	2	516	482	
3	5	1	466	475	
3	5	2	484	475	
4	1	1	475	463	
4	1	2	472	487	
4	2	1	477	475	
4	2	2	476	475	
4	3	1	439	475	
4	3	2	480	475	
4	4	1	469	433	
4	4	2	461	488	
4	5	1	475	504	
4	5	2	464	442	
5	1	1	485	482	
5	1	2	472	489	
5	2	1	458	463	
5	2	2	523	499	
5	3	1	494	475	
5	3	2	480	475	
5	4	1	475	475	
5	4	2	475	475	
5	5	1	475	475	
5	5	2	475	439	
6	1	1	475	484	
6	1	2	475	470	
6	2	1	475	475	
6	2	2	475	499	
6	3	1	475	483	
6	3	2	455	475	
6	4	1	490	475	
6	4	2	480	475	
6	5	1	475	475	
6	5	2	475	474	
7	1	1	475	476	
7	1	2	475	454	
7	2	1	475	488	
7	2	2	475	483	
7	3	1	475	456	
7	3	2	457	479	
7	4	1	493	490	
7	4	2	475	475	
7	5	1	475	475	
7	5	2	475	475	
8	1	1	475	461	
8	1	2	475	456	
8	2	1	468	481	
8	2	2	482	449	
8	3	1	449	493	
8	3	2	483	464	
8	4	1	493	508	
8	4	2	463	488	
8	5	1	487	475	
8	5	2	466	475	
