Week	Day	Shift	Weld L1	Weld L2
1	1	1	475	428	
1	1	2	475	522	
1	2	1	475	475	
1	2	2	413	475	
1	3	1	471	452	
1	3	2	479	452	
1	4	1	487	464	
1	4	2	433	460	
1	5	1	486	469	
1	5	2	499	493	
2	1	1	469	504	
2	1	2	533	506	
2	2	1	480	475	
2	2	2	475	456	
2	3	1	434	494	
2	3	2	465	475	
2	4	1	526	471	
2	4	2	475	479	
2	5	1	475	475	
2	5	2	475	475	
3	1	1	475	472	
3	1	2	469	478	
3	2	1	471	475	
3	2	2	485	475	
3	3	1	475	449	
3	3	2	475	454	
3	4	1	475	495	
3	4	2	464	496	
3	5	1	486	447	
3	5	2	466	500	
4	1	1	442	484	
4	1	2	485	475	
4	2	1	498	475	
4	2	2	484	462	
4	3	1	475	476	
4	3	2	475	487	
4	4	1	475	475	
4	4	2	469	475	
4	5	1	481	475	
4	5	2	475	464	
5	1	1	475	0	
