Week	Day	Shift	Weld L1	Weld L2
1	1	1	475	475	
1	1	2	475	475	
1	2	1	471	475	
1	2	2	479	475	
1	3	1	475	475	
1	3	2	470	475	
1	4	1	472	475	
1	4	2	483	466	
1	5	1	475	472	
1	5	2	475	487	
2	1	1	475	475	
2	1	2	475	475	
2	2	1	451	474	
2	2	2	492	476	
2	3	1	462	475	
2	3	2	486	475	
2	4	1	484	475	
2	4	2	471	475	
2	5	1	479	475	
2	5	2	475	467	
3	1	1	472	477	
3	1	2	478	481	
3	2	1	475	475	
3	2	2	474	475	
3	3	1	457	475	
3	3	2	471	475	
3	4	1	478	475	
3	4	2	495	475	
3	5	1	469	475	
3	5	2	481	475	
4	1	1	475	475	
4	1	2	475	475	
4	2	1	475	475	
4	2	2	475	475	
4	3	1	475	475	
4	3	2	388	475	
4	4	1	510	475	
4	4	2	443	475	
4	5	1	480	475	
4	5	2	472	475	
5	1	1	458	475	
5	1	2	499	475	
5	2	1	486	441	
5	2	2	512	454	
5	3	1	502	467	
5	3	2	475	512	
5	4	1	475	488	
5	4	2	469	488	
5	5	1	481	475	
5	5	2	475	475	
6	1	1	434	468	
6	1	2	456	474	
6	2	1	503	483	
6	2	2	497	475	
6	3	1	485	475	
6	3	2	475	475	
6	4	1	475	475	
6	4	2	455	475	
6	5	1	446	475	
6	5	2	509	474	
7	1	1	463	476	
7	1	2	502	475	
7	2	1	475	451	
7	2	2	475	486	
7	3	1	475	488	
7	3	2	475	475	
7	4	1	475	475	
7	4	2	475	458	
7	5	1	475	488	
7	5	2	475	474	
8	1	1	475	443	
8	1	2	475	508	
8	2	1	451	455	
8	2	2	499	499	
8	3	1	475	475	
8	3	2	475	422	
8	4	1	454	463	
8	4	2	496	485	
8	5	1	469	529	
8	5	2	476	476	
