TABNAME,COLNAME,TYPENAME,LENGTH,SCALE,DEFAULT,NULLS
ADVISE_PARTITION,PMID,SMALLINT,2,0,,N
ADVISE_PARTITION,QUERYNO,INTEGER,4,0,0,N
ADVISE_PARTITION,QUERYTAG,CHARACTER,20,0,',N
ADVISE_PARTITION,REPLICATE,CHARACTER,1,0,N',N
ADVISE_PARTITION,RUN_ID,TIMESTAMP,10,6,,Y
ADVISE_PARTITION,SECTNO,INTEGER,4,0,0,N
ADVISE_PARTITION,SOURCE_NAME,VARCHAR,128,0,',N
ADVISE_PARTITION,SOURCE_SCHEMA,VARCHAR,128,0,',N
ADVISE_PARTITION,SOURCE_VERSION,VARCHAR,64,0,',N
ADVISE_PARTITION,STMTNO,INTEGER,4,0,0,N
ADVISE_PARTITION,TBCREATOR,VARCHAR,128,0,',N
ADVISE_PARTITION,TBNAME,VARCHAR,128,0,,N
ADVISE_PARTITION,TBSPACE,VARCHAR,128,0,',N
ADVISE_PARTITION,USEIT,CHARACTER,1,0,,Y
ADVISE_TABLE,ALTER_COMMAND,CLOB,2097152,0,',N
ADVISE_TABLE,CREATION_TEXT,CLOB,2097152,0,',N
ADVISE_TABLE,DISKUSE,DOUBLE,8,0,0,N
ADVISE_TABLE,GEN_COLUMNS,CLOB,2097152,0,',N
ADVISE_TABLE,ORGANIZE_BY,CLOB,2097152,0,',N
ADVISE_TABLE,RUN_ID,TIMESTAMP,10,6,,Y
ADVISE_TABLE,SELECTION_FLAG,VARCHAR,8,0,',N
ADVISE_TABLE,TABLESPACE,VARCHAR,128,0,',N
ADVISE_TABLE,TABLE_EXISTS,CHARACTER,1,0,',N
ADVISE_TABLE,TABLE_NAME,VARCHAR,128,0,,N
ADVISE_TABLE,TABLE_SCHEMA,VARCHAR,128,0,',N
ADVISE_TABLE,USE_TABLE,CHARACTER,1,0,',N
ADVISE_WORKLOAD,COMPILABLE,CHARACTER,17,0,,Y
ADVISE_WORKLOAD,COST_AFTER,DOUBLE,8,0,,Y
ADVISE_WORKLOAD,COST_BEFORE,DOUBLE,8,0,,Y
ADVISE_WORKLOAD,FREQUENCY,INTEGER,4,0,1,N
ADVISE_WORKLOAD,IMPORTANCE,DOUBLE,8,0,1,N
ADVISE_WORKLOAD,STATEMENT_NO,INTEGER,4,0,1,N
ADVISE_WORKLOAD,STATEMENT_TAG,VARCHAR,256,0,',N
ADVISE_WORKLOAD,STATEMENT_TEXT,CLOB,2097152,0,,N
ADVISE_WORKLOAD,WEIGHT,DOUBLE,8,0,1,N
ADVISE_WORKLOAD,WORKLOAD_NAME,CHARACTER,128,0,WK0',N
BLOCK_BUILD_RESULTS_TBX,ACTUAL_TIMESTAMP,TIMESTAMP,10,6,CURRENT TIMESTAMP,N
BLOCK_BUILD_RESULTS_TBX,ASSOCIATE_NO,VARCHAR,11,0,,Y
BLOCK_BUILD_RESULTS_TBX,BLOCK_ID,VARCHAR,17,0,,N
BLOCK_BUILD_RESULTS_TBX,CREATE_TIMESTAMP,TIMESTAMP,10,6,,Y
BLOCK_BUILD_RESULTS_TBX,INSTALLED_PART_STATUS,INTEGER,4,0,,Y
BLOCK_BUILD_RESULTS_TBX,PART_NAME,VARCHAR,32,0, ',N
BLOCK_BUILD_RESULTS_TBX,RESULT_VALUE,VARCHAR,30,0,,Y
BLOCK_BUILD_RESULTS_TBX,UPDATE_TIMESTAMP,TIMESTAMP,10,6,,Y
BLOCK_HISTORY_TBX,ACTUAL_TIMESTAMP,TIMESTAMP,10,6,CURRENT TIMESTAMP,N
BLOCK_HISTORY_TBX,BLOCK_ID,VARCHAR,17,0,,N
BLOCK_HISTORY_TBX,CREATE_TIMESTAMP,TIMESTAMP,10,6,,Y
BLOCK_HISTORY_TBX,PROCESS_COUNT,INTEGER,4,0,1,N
BLOCK_HISTORY_TBX,PROCESS_POINT_ID,CHARACTER,16,0, ',N
BLOCK_HISTORY_TBX,UPDATE_TIMESTAMP,TIMESTAMP,10,6,,Y
BLOCK_LOAD_TBX,CREATE_TIMESTAMP,TIMESTAMP,10,6,,Y
BLOCK_LOAD_TBX,LOT_SIZE,INTEGER,4,0,,Y
BLOCK_LOAD_TBX,MC_NUMBER,CHARACTER,20,0,,N
BLOCK_LOAD_TBX,PRODUCTION_LOT,CHARACTER,20,0,,Y
BLOCK_LOAD_TBX,PRODUCT_SPEC_CODE,CHARACTER,22,0,,Y
BLOCK_LOAD_TBX,REFERENCE_NUMBER,INTEGER,4,0,,Y
BLOCK_LOAD_TBX,STATUS,CHARACTER,1,0,,Y
BLOCK_LOAD_TBX,UPDATE_TIMESTAMP,TIMESTAMP,10,6,,Y
BLOCK_TBX,BLOCK_ID,VARCHAR,17,0,,N
BLOCK_TBX,CREATE_TIMESTAMP,TIMESTAMP,10,6,,Y
BLOCK_TBX,DC_SERIAL_NUMBER,VARCHAR,17,0,,Y
BLOCK_TBX,DEFECT_STATUS,SMALLINT,2,0,,Y
BLOCK_TBX,DUNNAGE,VARCHAR,12,0,,Y
BLOCK_TBX,ENGINE_SERIAL_NUMBER,VARCHAR,17,0,,Y
BLOCK_TBX,HOLD_STATUS,SMALLINT,2,0,0,N
BLOCK_TBX,LAST_PASSING_PROCESS_POINT_ID,CHARACTER,16,0,,Y
BLOCK_TBX,MC_SERIAL_NUMBER,VARCHAR,17,0,,Y
BLOCK_TBX,MODEL,VARCHAR,12,0,,Y
BLOCK_TBX,TRACKING_STATUS,VARCHAR,12,0,,Y
BLOCK_TBX,UPDATE_TIMESTAMP,TIMESTAMP,10,6,,Y
DIFF1,FILE,VARCHAR,254,0,,Y
DIFF1,SIZE,VARCHAR,254,0,,Y
DIFF2,FILE,VARCHAR,254,0,,Y
DIFF2,SIZE,VARCHAR,254,0,,Y
EXPLAIN_ARGUMENT,ARGUMENT_TYPE,CHARACTER,8,0,,N
EXPLAIN_ARGUMENT,ARGUMENT_VALUE,VARCHAR,1024,0,,Y
EXPLAIN_ARGUMENT,EXPLAIN_LEVEL,CHARACTER,1,0,,N
EXPLAIN_ARGUMENT,EXPLAIN_REQUESTER,VARCHAR,128,0,,N
EXPLAIN_ARGUMENT,EXPLAIN_TIME,TIMESTAMP,10,6,,N
EXPLAIN_ARGUMENT,LONG_ARGUMENT_VALUE,CLOB,2097152,0,,Y
