Week	Day	Shift	Weld L1	Weld L2
1	1	1	475	475	
1	1	2	475	475	
1	2	1	434	462	
1	2	2	505	488	
1	3	1	451	475	
1	3	2	465	475	
1	4	1	492	475	
1	4	2	489	475	
1	5	1	453	475	
1	5	2	511	451	
2	1	1	475	468	
2	1	2	475	464	
2	2	1	475	475	
2	2	2	475	517	
2	3	1	473	454	
2	3	2	463	463	
2	4	1	477	508	
2	4	2	487	475	
2	5	1	473	475	
2	5	2	477	457	
3	1	1	465	481	
3	1	2	461	487	
3	2	1	481	475	
3	2	2	458	475	
3	3	1	502	475	
3	3	2	483	475	
3	4	1	475	475	
3	4	2	475	475	
3	5	1	475	475	
3	5	2	472	475	
4	1	1	478	475	
4	1	2	475	475	
4	2	1	475	475	
4	2	2	475	475	
4	3	1	475	474	
4	3	2	475	476	
4	4	1	475	448	
4	4	2	475	501	
4	5	1	446	476	
4	5	2	467	475	
5	1	1	502	475	
5	1	2	485	459	
5	2	1	475	491	
5	2	2	475	472	
5	3	1	475	462	
5	3	2	471	484	
5	4	1	456	480	
5	4	2	442	477	
5	5	1	514	475	
5	5	2	485	475	
6	1	1	482	465	
6	1	2	475	485	
6	2	1	475	470	
6	2	2	475	480	
6	3	1	475	475	
6	3	2	475	475	
6	4	1	475	475	
6	4	2	475	475	
6	5	1	475	475	
6	5	2	466	475	
7	1	1	484	475	
7	1	2	475	475	
7	2	1	456	465	
7	2	2	494	473	
7	3	1	475	487	
7	3	2	475	445	
7	4	1	471	504	
7	4	2	479	461	
7	5	1	475	490	
7	5	2	416	475	
8	1	1	513	475	
8	1	2	496	475	
8	2	1	475	475	
8	2	2	458	475	
8	3	1	492	475	
8	3	2	475	465	
8	4	1	475	485	
8	4	2	475	475	
8	5	1	473	475	
8	5	2	477	475	
