Week	Day	Shift	Weld L1	Weld L2
1	1	1	475	475	
1	1	2	475	475	
1	2	1	475	438	
1	2	2	466	512	
1	3	1	463	475	
1	3	2	442	475	
1	4	1	477	475	
1	4	2	468	443	
1	5	1	450	449	
1	5	2	490	490	
2	1	1	505	495	
2	1	2	513	492	
2	2	1	449	468	
2	2	2	468	486	
2	3	1	509	477	
2	3	2	451	475	
2	4	1	496	475	
2	4	2	478	421	
2	5	1	461	454	
2	5	2	489	518	
3	1	1	475	479	
3	1	2	475	491	
3	2	1	475	487	
3	2	2	457	467	
3	3	1	433	483	
3	3	2	526	475	
3	4	1	457	475	
3	4	2	502	475	
3	5	1	475	475	
3	5	2	467	473	
4	1	1	480	477	
4	1	2	478	475	
4	2	1	475	448	
4	2	2	475	498	
4	3	1	475	479	
4	3	2	470	475	
4	4	1	451	475	
4	4	2	504	475	
4	5	1	475	475	
4	5	2	475	458	
5	1	1	412	475	
5	1	2	460	483	
5	2	1	462	484	
5	2	2	505	470	
5	3	1	506	480	
5	3	2	479	475	
5	4	1	501	475	
5	4	2	475	475	
5	5	1	475	475	
5	5	2	464	475	
6	1	1	486	475	
6	1	2	475	393	
6	2	1	436	447	
6	2	2	508	506	
6	3	1	478	486	
6	3	2	454	533	
6	4	1	499	485	
6	4	2	433	471	
6	5	1	475	444	
6	5	2	477	510	
7	1	1	505	475	
7	1	2	435	448	
7	2	1	477	483	
7	2	2	503	487	
7	3	1	495	482	
7	3	2	475	475	
7	4	1	475	475	
7	4	2	475	475	
7	5	1	473	444	
7	5	2	423	506	
8	1	1	501	475	
8	1	2	503	475	
8	2	1	475	475	
8	2	2	475	475	
8	3	1	475	475	
8	3	2	422	475	
8	4	1	458	475	
8	4	2	450	460	
8	5	1	498	490	
8	5	2	500	468	
