Week	Day	Shift	Weld L1	Weld L2
1	1	1	475	475	
1	1	2	475	450	
1	2	1	475	488	
1	2	2	475	479	
1	3	1	475	483	
1	3	2	475	475	
1	4	1	475	472	
1	4	2	475	478	
1	5	1	475	475	
1	5	2	475	424	
2	1	1	475	493	
2	1	2	462	493	
2	2	1	425	441	
2	2	2	450	514	
2	3	1	489	485	
2	3	2	458	475	
2	4	1	485	475	
2	4	2	464	468	
2	5	1	498	482	
2	5	2	486	475	
3	1	1	464	475	
3	1	2	510	475	
3	2	1	509	475	
3	2	2	475	475	
3	3	1	475	473	
3	3	2	475	477	
3	4	1	465	475	
3	4	2	485	475	
3	5	1	475	475	
3	5	2	475	475	
4	1	1	475	475	
4	1	2	460	475	
4	2	1	486	469	
4	2	2	479	481	
4	3	1	475	471	
4	3	2	475	440	
4	4	1	475	514	
4	4	2	475	475	
4	5	1	475	475	
4	5	2	459	475	
5	1	1	485	475	
5	1	2	481	475	
5	2	1	475	475	
5	2	2	475	475	
5	3	1	475	475	
5	3	2	454	475	
5	4	1	475	475	
5	4	2	496	462	
5	5	1	470	482	
5	5	2	480	481	
6	1	1	475	455	
6	1	2	475	458	
6	2	1	475	468	
6	2	2	475	519	
6	3	1	475	439	
6	3	2	475	495	
6	4	1	471	467	
6	4	2	471	499	
6	5	1	483	475	
6	5	2	473	475	
7	1	1	477	475	
7	1	2	475	475	
7	2	1	475	475	
7	2	2	475	458	
7	3	1	473	488	
7	3	2	477	479	
7	4	1	471	448	
7	4	2	479	465	
7	5	1	475	482	
7	5	2	469	477	
8	1	1	481	493	
8	1	2	448	485	
8	2	1	491	475	
8	2	2	457	475	
8	3	1	504	439	
8	3	2	475	492	
8	4	1	475	493	
8	4	2	475	476	
8	5	1	475	475	
8	5	2	475	471	
