Week	Day	Shift	Weld L1	Weld L2
1	1	1	475	475	
1	1	2	475	475	
1	2	1	475	438	
1	2	2	465	512	
1	3	1	462	475	
1	3	2	444	475	
1	4	1	489	475	
1	4	2	469	443	
1	5	1	452	449	
1	5	2	476	490	
2	1	1	505	495	
2	1	2	513	492	
2	2	1	449	468	
2	2	2	467	486	
2	3	1	509	477	
2	3	2	451	475	
2	4	1	496	475	
2	4	2	478	421	
2	5	1	461	454	
2	5	2	489	519	
3	1	1	475	479	
3	1	2	475	492	
3	2	1	475	485	
3	2	2	457	467	
3	3	1	433	483	
3	3	2	426	475	
3	4	1	474	475	
3	4	2	489	475	
3	5	1	486	475	
3	5	2	334	472	
4	1	1	479	478	
4	1	2	503	475	
4	2	1	536	449	
4	2	2	488	498	
4	3	1	488	478	
4	3	2	462	475	
4	4	1	458	475	
4	4	2	502	475	
4	5	1	517	475	
4	5	2	477	458	
5	1	1	426	492	
5	1	2	445	475	
5	2	1	471	475	
5	2	2	389	441	
5	3	1	506	478	
5	3	2	481	501	
5	4	1	498	480	
5	4	2	496	475	
5	5	1	489	475	
5	5	2	463	475	
6	1	1	501	475	
6	1	2	523	475	
6	2	1	440	453	
6	2	2	502	497	
6	3	1	480	475	
6	3	2	453	475	
6	4	1	519	475	
6	4	2	437	471	
6	5	1	476	444	
6	5	2	479	510	
7	1	1	507	475	
7	1	2	435	448	
7	2	1	483	483	
7	2	2	503	487	
7	3	1	516	482	
7	3	2	489	475	
7	4	1	480	475	
7	4	2	479	475	
7	5	1	473	445	
7	5	2	423	505	
8	1	1	502	475	
8	1	2	502	475	
8	2	1	475	475	
8	2	2	475	475	
8	3	1	475	475	
8	3	2	465	475	
8	4	1	462	475	
8	4	2	444	460	
8	5	1	493	490	
8	5	2	502	468	
