ID,carrierNumber,tagID,dieNumber,quantity,updateDate,currentLocation,destination,status,originationLocation,buffer,productionRunNumber,productionRunTimestamp
487,487,0,67,4,2011-12-02 21:07:58.529,3700,3700,0,3700,1,20111215,2011-12-02 21:07:58.529
488,488,0,999,0,2011-11-30 21:41:31.930,5200,2003,0,2003,0,999,2011-11-30 18:35:38.903
489,489,0,96,11,2011-12-01 14:10:08.283,1227,1227,0,502,0,201111286,2011-12-01 14:10:08.283
490,490,0,999,0,2011-12-01 19:35:15.192,1204,1204,0,506,1,20111215,2011-12-01 19:34:14.615
491,491,0,2,13,2011-11-29 16:26:34.319,1208,1208,0,506,0,201111294,2011-11-29 16:26:34.319
492,492,0,8,13,2011-12-01 12:26:55.808,1222,1222,0,502,0,201111301,2011-12-01 12:26:55.808
493,493,0,999,0,2011-11-30 23:01:05.073,5200,5200,0,2003,0,999,2011-11-30 22:52:53.376
494,494,0,72,12,2011-12-02 21:14:20.879,1223,1223,0,502,0,20111224,2011-12-02 21:14:20.879
495,495,0,999,0,2011-12-03 00:47:30.219,402,403,0,2003,1,999,2011-12-02 21:35:45.636
496,496,0,999,0,2011-12-01 23:56:51.232,1226,1226,0,2003,1,999,2011-12-01 23:55:01.534
497,497,0,2,13,2011-12-01 13:11:04.066,1224,1224,0,506,0,201111294,2011-12-01 13:11:04.066
498,498,0,999,0,2011-12-02 00:45:07.096,1226,1226,0,2003,0,999,2011-12-02 00:45:07.096
499,499,0,67,12,2011-12-02 22:36:36.446,1230,1230,0,502,0,20111224,2011-12-02 22:36:36.446
500,500,0,999,0,2011-12-02 09:42:50.869,13400,2003,0,1800,0,999,2011-12-02 09:02:26.133
502,502,0,999,0,2011-12-02 21:31:09.329,13400,2003,0,2003,0,999,2011-12-02 21:27:20.920
504,504,0,66,12,2011-12-02 20:09:31.256,1232,1232,0,506,0,20111223,2011-12-02 20:09:31.256
505,505,0,67,12,2011-12-02 21:02:11.851,2500,500,0,502,1,20111215,2011-12-01 18:23:34.759
507,507,0,999,0,2011-11-30 22:24:47.052,5200,5200,0,2003,0,999,2011-11-30 20:12:22.618
509,509,0,8,13,2011-12-01 12:31:28.510,1222,1222,0,502,0,201111301,2011-12-01 12:31:28.510
510,510,0,999,0,2011-11-30 23:18:27.382,5200,5200,0,2003,0,999,2011-11-30 23:02:31.478
511,511,0,96,11,2011-12-01 10:15:21.046,1227,1227,0,506,0,201111286,2011-12-01 10:15:21.046
512,512,0,999,0,2011-12-02 08:51:46.593,1211,1211,0,2003,0,999,2011-12-02 08:51:46.593
513,513,0,72,12,2011-12-02 16:07:39.699,1223,1223,0,405,1,0,2011-12-01 16:12:43.799
514,514,0,999,0,2011-11-30 23:10:11.729,5200,5200,0,2003,0,999,2011-11-30 22:47:15.861
516,516,0,2,13,2011-12-01 13:14:12.968,1224,1224,0,506,0,201111294,2011-12-01 13:14:12.968
517,517,0,67,12,2011-11-30 14:57:52.885,702,700,0,502,0,201111302,2011-11-30 12:07:47.520
519,519,0,999,0,2011-12-01 20:46:46.543,13400,2003,0,11900,0,999,2011-12-01 20:42:50.644
520,520,0,2,13,2011-12-01 13:54:25.106,1224,1224,0,502,0,201111172,2011-12-01 13:54:25.106
521,521,0,999,0,2011-11-30 23:00:13.780,5200,5200,0,2003,0,999,2011-11-30 22:51:18.390
522,522,0,999,0,2011-12-02 12:40:55.192,1207,1207,0,2003,0,999,2011-12-02 12:40:55.192
523,523,0,999,0,2011-11-30 22:21:36.778,5200,5200,0,2003,0,999,2011-11-30 20:04:47.183
524,524,0,72,8,2011-12-01 19:39:27.395,1223,1223,0,502,0,20111215,2011-12-01 19:39:27.395
527,527,0,66,12,2011-12-02 19:52:03.579,1232,1232,0,506,1,20111223,2011-12-02 19:49:28.206
528,528,0,999,0,2011-12-01 15:20:48.129,2005,2003,0,10900,1,999,2011-12-01 09:27:57.878
529,529,0,97,11,2011-11-30 14:47:45.181,706,700,0,506,0,201111223,2011-11-22 15:37:07.153
531,531,0,7,13,2011-11-21 08:17:20.283,1219,1219,0,502,0,201111214,2011-11-21 08:17:20.283
534,534,0,2,0,2011-11-22 11:23:07.159,1500,1800,0,1800,0,999,2011-11-22 10:06:29.167
536,536,0,2,12,2011-12-01 13:18:59.470,1224,1224,0,502,0,201111294,2011-12-01 13:18:59.470
537,537,0,7,13,2011-11-21 10:43:31.385,1225,1225,0,506,0,201111214,2011-11-21 10:43:31.385
538,538,0,8,13,2011-12-01 11:25:47.684,1222,1222,0,502,0,201111301,2011-12-01 11:25:47.684
539,539,0,66,12,2011-12-02 20:17:24.687,1232,1232,0,502,0,20111223,2011-12-02 20:17:24.687
540,540,0,97,11,2011-11-30 14:34:48.824,706,700,0,506,0,201111223,2011-11-22 15:24:56.112
541,541,0,999,0,2011-11-30 22:41:50.353,5200,5200,0,2003,0,999,2011-11-30 22:29:04.382
542,542,0,7,13,2011-11-21 10:45:56.694,1225,1225,0,506,0,201111214,2011-11-21 10:45:56.694
543,543,0,66,12,2011-12-02 17:10:13.857,1231,1231,0,506,0,20111223,2011-12-02 17:10:13.857
544,544,0,67,12,2011-11-30 14:59:27.601,702,700,0,506,0,201111302,2011-11-30 12:19:58.972
545,545,0,999,0,2011-12-02 01:24:54.619,1226,1226,0,2003,0,999,2011-12-02 01:24:54.619
547,547,0,66,12,2011-12-02 17:06:56.343,1231,1231,0,502,0,20111223,2011-12-02 17:06:56.343
548,548,0,999,0,2011-12-02 11:03:39.932,1217,1217,0,11900,0,999,2011-12-02 11:03:39.932
549,549,0,66,12,2011-12-02 18:49:47.157,1233,1233,0,506,0,20111223,2011-12-02 18:49:47.157
550,550,0,999,0,2011-12-03 00:46:23.934,2003,2003,0,11900,0,999,2011-12-02 22:37:33.979
551,551,0,66,12,2011-12-02 20:15:49.790,1100,500,0,502,0,20111223,2011-12-02 17:24:56.376
552,552,0,999,0,2011-12-02 11:30:01.035,1217,1217,0,2003,0,999,2011-12-02 11:30:01.035
553,553,0,8,13,2011-12-01 11:29:15.413,1222,1222,0,506,0,201111301,2011-12-01 11:29:15.413
554,554,0,999,0,2011-11-30 22:28:49.080,5200,5200,0,2003,0,999,2011-11-30 22:04:37.582
555,555,0,999,0,2011-12-02 07:12:06.634,1204,1204,0,2003,0,999,2011-12-02 07:12:06.634
556,556,0,67,12,2011-11-30 14:54:43.392,702,700,0,506,0,201111302,2011-11-30 12:05:07.310
557,557,0,67,12,2011-12-02 23:28:25.326,15500,10100,0,506,0,20111224,2011-12-02 21:51:36.413
558,558,0,999,0,2011-12-01 20:26:11.367,13400,2003,0,11900,0,999,2011-12-01 20:22:08.067
561,561,0,66,12,2011-12-02 20:34:20.547,1233,1233,0,506,0,20111223,2011-12-02 20:34:20.547
562,562,0,96,11,2011-11-30 14:27:55.520,706,700,0,502,1,688,2011-11-28 12:00:00.0
563,563,0,96,0,2011-12-02 16:29:03.175,12400,11900,0,11900,0,999,2011-12-02 16:16:19.737
565,565,0,67,12,2011-12-02 22:13:12.677,1000,500,0,502,1,20111215,2011-12-01 18:32:52.370
567,567,0,999,0,2011-12-01 21:46:28.373,13400,2003,0,11900,0,999,2011-12-01 21:42:32.574
568,568,0,72,9,2011-12-01 19:36:58.991,1223,1223,0,506,0,20111215,2011-12-01 19:36:58.991
569,569,0,66,12,2011-12-02 19:58:41.241,1232,1232,0,506,0,20111223,2011-12-02 19:58:41.241
570,570,0,999,0,2011-12-01 21:36:13.018,13400,2003,0,10900,0,999,2011-12-01 21:31:58.112
571,571,0,999,0,2011-11-30 22:40:48.804,5200,5200,0,2003,0,999,2011-11-30 22:26:30.761
572,572,0,66,12,2011-12-02 22:20:52.889,500,500,0,502,0,20111223,2011-12-02 17:54:11.590
573,573,0,999,0,2011-12-02 11:31:53.257,1215,1215,0,2003,1,999,2011-12-02 11:30:53.250
574,574,0,999,0,2011-12-01 11:12:28.174,2005,2003,0,11900,1,999,2011-12-01 09:27:06.985
