ID,carrierNumber,tagID,dieNumber,quantity,updateDate,currentLocation,destination,status,originationLocation,buffer,productionRunNumber,productionRunTimestamp,source
673,673,0,7,13,2011-11-21 08:19:38.682,1219,1219,0,502,0,201111214,2011-11-21 08:19:38.682,NOT_SET
675,675,0,67,12,2011-12-03 00:47:54.814,509,1230,0,502,1,20111231,2011-01-03 12:57:42.0,NOT_SET
676,676,0,2,13,2011-11-29 14:55:29.892,1218,1218,0,506,0,201111294,2011-11-29 14:55:29.892,NOT_SET
677,677,0,2,13,2011-12-02 15:13:42.214,1228,1228,0,11900,0,999,2011-12-02 15:13:42.214,NOT_SET
679,679,0,8,13,2011-12-02 07:30:21.508,1222,1222,0,506,0,201111301,2011-12-02 07:30:21.508,NOT_SET
680,680,0,999,0,2011-12-02 13:12:45.009,1214,1214,0,2003,0,999,2011-12-02 13:12:45.009,NOT_SET
681,681,0,999,0,2011-11-30 23:01:56.628,5200,5200,0,2003,0,999,2011-11-30 22:54:28.273,NOT_SET
683,683,0,66,12,2011-12-02 19:50:13.261,1233,1233,0,502,0,20111223,2011-12-02 19:50:13.261,NOT_SET
684,684,0,999,0,2011-11-30 23:08:46.427,5200,5200,0,2003,0,999,2011-11-30 22:46:25.068,NOT_SET
685,685,0,999,0,2011-12-02 08:10:12.336,1210,1210,0,2003,0,999,2011-12-02 08:10:12.336,NOT_SET
686,686,0,67,12,2011-12-02 22:19:29.990,1230,1230,0,502,0,20111224,2011-12-02 22:19:29.990,NOT_SET
687,687,0,67,12,2011-12-02 23:00:30.328,15600,10100,0,502,0,20111215,2011-12-01 17:21:41.329,NOT_SET
688,688,0,66,12,2011-12-02 20:32:45.851,1233,1233,0,502,0,20111223,2011-12-02 20:32:45.851,NOT_SET
689,689,0,999,0,2011-12-02 16:14:23.410,2005,2003,0,10900,1,999,2011-11-30 17:52:57.720,NOT_SET
690,690,0,999,0,2011-11-30 23:38:50.831,5200,5200,0,10900,0,999,2011-11-30 23:10:26.421,NOT_SET
691,691,0,999,0,2011-12-02 00:01:28.040,1226,1226,0,2003,0,999,2011-12-02 00:01:28.040,NOT_SET
693,693,0,66,12,2011-12-02 20:59:04.822,1233,1233,0,405,0,0,2011-12-02 20:59:04.822,NOT_SET
694,694,0,999,0,2011-12-02 08:01:11.288,13400,2003,0,11900,0,999,2011-12-02 07:18:32.579,NOT_SET
695,695,0,999,0,2011-11-30 23:20:17.581,5200,5200,0,2003,0,999,2011-11-30 23:05:41.331,NOT_SET
696,696,0,67,12,2011-12-02 22:17:40.883,1230,1230,0,506,0,20111224,2011-12-02 22:17:40.883,NOT_SET
697,697,0,2,13,2011-12-01 13:17:24.974,1224,1224,0,502,0,201111294,2011-12-01 13:17:24.974,NOT_SET
698,698,0,2,13,2011-12-01 13:49:58.783,1224,1224,0,506,0,201111172,2011-12-01 13:49:58.783,NOT_SET
700,700,0,96,11,2011-12-01 10:13:39.761,1227,1227,0,502,0,201111286,2011-12-01 10:13:39.761,NOT_SET
701,701,0,999,0,2011-12-02 07:37:51.646,1206,1206,0,2003,0,999,2011-12-02 07:37:51.646,NOT_SET
702,702,0,999,0,2011-12-01 20:33:23.318,13400,2003,0,10900,0,999,2011-12-01 20:29:34.569,NOT_SET
703,703,0,67,12,2011-12-02 22:31:08.464,1230,1230,0,506,0,20111224,2011-12-02 22:31:08.464,NOT_SET
