0:11:59:875,59,1232,500,1,vc009979
0:13:38:246,353,1232,1232,0,vc009979
0:15:37:102,626,1233,500,1,vc009979
0:20:18:232,353,904,500,1,vc009979
1:50:17:043,540,509,1215,1,ma00786
2:21:37:659,400,509,1219,1,ma00786
3:16:54:072,354,1224,5200,0,ma00786
3:20:30:289,108,1230,1230,1,ma00786
3:23:13:481,354,1224,5200,1,ma00786
5:57:22:876,640,2019,2024,1,vc002756
7:19:20:237,631,1232,10100,1,vct27448
8:02:57:068,356,1232,500,1,vct27448
9:37:05:459,703,1301,700,0,vct27448
9:38:07:770,619,1301,5200,0,vct27448
12:05:24:333,537,1301,1301,1,vct27448
12:08:51:611,98,1223,10100,1,vct27448
12:17:06:341,537,1301,10100,1,vct27448
12:18:15:967,716,2027,513,1,ma15534
12:19:58:045,555,2027,513,1,ma15534
13:46:32:313,234,405,1223,1,ma01408
16:44:43:598,736,405,1235,1,ma09537
16:45:44:541,103,510,405,0,ma09537
16:46:59:092,103,405,1235,1,ma09537
17:36:25:265,153,1234,10100,1,ma17286
17:43:02:971,338,1226,5200,0,ma17286
17:54:28:803,397,1227,1226,0,ma17286
17:56:19:926,121,2028,5200,0,ma17286
19:14:18:396,505,1217,500,1,ma17286
19:53:53:914,620,1234,10100,1,ma17286
21:45:18:278,361,1101,1228,1,ma17286
21:46:27:055,397,1226,1226,1,ma17286
21:55:45:622,706,1226,1226,1,ma17286
21:56:37:255,356,1226,1226,0,ma17286
21:58:11:184,356,1226,1226,0,ma17286
21:59:51:894,561,5200,2003,1,ma17286
22:01:18:765,561,5200,2001,1,ma17286
22:02:43:632,660,1300,1221,1,ma17286
22:05:37:553,561,5200,513,1,ma17286
22:08:23:425,561,5200,1101,1,ma17286
22:08:48:341,561,5200,5200,1,ma17286
22:55:51:190,450,4900,2003,1,vc030168
23:30:23:897,214,900,2003,1,vct29322
