Week	Day	Shift	Weld L1	Weld L2
1	1	1	475	475	
1	1	2	475	462	
1	2	1	475	488	
1	2	2	444	475	
1	3	1	506	474	
1	3	2	475	476	
1	4	1	475	475	
1	4	2	475	437	
1	5	1	475	481	
1	5	2	475	489	
2	1	1	475	484	
2	1	2	475	454	
2	2	1	475	457	
2	2	2	475	485	
2	3	1	475	510	
2	3	2	475	471	
2	4	1	429	482	
2	4	2	441	475	
2	5	1	457	475	
2	5	2	427	430	
3	1	1	486	490	
3	1	2	495	505	
3	2	1	477	475	
3	2	2	468	475	
3	3	1	490	475	
3	3	2	499	475	
3	4	1	522	467	
3	4	2	509	483	
3	5	1	475	474	
3	5	2	475	468	
4	1	1	475	466	
4	1	2	475	492	
4	2	1	475	422	
4	2	2	475	494	
4	3	1	475	462	
4	3	2	475	491	
4	4	1	470	499	
4	4	2	427	482	
4	5	1	481	475	
4	5	2	509	475	
5	1	1	462	475	
5	1	2	501	463	
5	2	1	460	487	
5	2	2	490	475	
5	3	1	475	475	
5	3	2	475	475	
5	4	1	453	475	
5	4	2	492	475	
5	5	1	480	460	
5	5	2	468	438	
6	1	1	482	489	
6	1	2	475	491	
6	2	1	452	492	
6	2	2	478	473	
6	3	1	465	482	
6	3	2	441	475	
6	4	1	494	475	
6	4	2	494	475	
6	5	1	455	445	
6	5	2	510	505	
7	1	1	486	475	
7	1	2	475	475	
7	2	1	465	471	
7	2	2	432	479	
7	3	1	501	475	
7	3	2	477	442	
7	4	1	492	508	
7	4	2	483	475	
7	5	1	475	475	
7	5	2	475	475	
8	1	1	468	475	
8	1	2	482	475	
8	2	1	445	475	
8	2	2	505	445	
8	3	1	475	485	
8	3	2	475	495	
8	4	1	475	475	
8	4	2	450	475	
8	5	1	465	475	
8	5	2	510	472	
