Week	Day	Shift	Weld L1	Weld L2
1	1	1	475	475	
1	1	2	475	475	
1	2	1	434	462	
1	2	2	505	488	
1	3	1	451	475	
1	3	2	463	475	
1	4	1	492	475	
1	4	2	487	475	
1	5	1	457	475	
1	5	2	511	451	
2	1	1	475	469	
2	1	2	475	464	
2	2	1	475	478	
2	2	2	475	513	
2	3	1	473	454	
2	3	2	463	463	
2	4	1	477	508	
2	4	2	487	475	
2	5	1	473	475	
2	5	2	477	457	
3	1	1	465	481	
3	1	2	462	487	
3	2	1	482	475	
3	2	2	458	475	
3	3	1	501	475	
3	3	2	482	475	
3	4	1	475	475	
3	4	2	475	475	
3	5	1	475	475	
3	5	2	472	475	
4	1	1	478	475	
4	1	2	475	475	
4	2	1	475	475	
4	2	2	475	475	
4	3	1	475	472	
4	3	2	475	478	
4	4	1	475	449	
4	4	2	475	501	
4	5	1	445	475	
4	5	2	404	475	
5	1	1	496	475	
5	1	2	513	460	
5	2	1	503	490	
5	2	2	468	475	
5	3	1	476	463	
5	3	2	480	480	
5	4	1	459	481	
5	4	2	386	476	
5	5	1	520	475	
5	5	2	488	475	
6	1	1	489	465	
6	1	2	500	485	
6	2	1	488	470	
6	2	2	485	480	
6	3	1	475	475	
6	3	2	475	475	
6	4	1	475	475	
6	4	2	475	475	
6	5	1	475	475	
6	5	2	466	475	
7	1	1	484	475	
7	1	2	475	475	
7	2	1	456	465	
7	2	2	494	473	
7	3	1	475	487	
7	3	2	475	444	
7	4	1	471	505	
7	4	2	479	461	
7	5	1	475	490	
7	5	2	408	475	
8	1	1	514	475	
8	1	2	502	475	
8	2	1	476	475	
8	2	2	458	475	
8	3	1	492	475	
8	3	2	475	465	
8	4	1	475	485	
8	4	2	475	475	
8	5	1	473	475	
8	5	2	477	475	
