Week	Day	Shift	Weld L1	Weld L2
1	1	1	475	475	
1	1	2	475	462	
1	2	1	475	488	
1	2	2	444	475	
1	3	1	506	474	
1	3	2	475	476	
1	4	1	475	475	
1	4	2	475	437	
1	5	1	475	482	
1	5	2	475	488	
2	1	1	475	484	
2	1	2	475	454	
2	2	1	475	457	
2	2	2	475	485	
2	3	1	475	511	
2	3	2	475	470	
2	4	1	430	482	
2	4	2	442	475	
2	5	1	457	475	
2	5	2	428	428	
3	1	1	491	491	
3	1	2	491	506	
3	2	1	476	475	
3	2	2	465	475	
3	3	1	498	475	
3	3	2	501	475	
3	4	1	522	468	
3	4	2	499	482	
3	5	1	475	475	
3	5	2	475	475	
4	1	1	475	469	
4	1	2	475	481	
4	2	1	475	422	
4	2	2	475	496	
4	3	1	475	462	
4	3	2	475	489	
4	4	1	470	499	
4	4	2	427	482	
4	5	1	481	475	
4	5	2	510	475	
5	1	1	460	475	
5	1	2	502	462	
5	2	1	460	488	
5	2	2	490	475	
5	3	1	475	475	
5	3	2	475	475	
5	4	1	450	475	
5	4	2	492	475	
5	5	1	483	460	
5	5	2	465	438	
6	1	1	485	488	
6	1	2	475	492	
6	2	1	451	492	
6	2	2	467	473	
6	3	1	470	482	
6	3	2	433	475	
6	4	1	502	475	
6	4	2	485	475	
6	5	1	454	445	
6	5	2	499	505	
7	1	1	514	475	
7	1	2	475	475	
7	2	1	465	471	
7	2	2	433	479	
7	3	1	500	475	
7	3	2	477	442	
7	4	1	493	508	
7	4	2	482	475	
7	5	1	475	475	
7	5	2	475	475	
8	1	1	468	475	
8	1	2	482	475	
8	2	1	445	475	
8	2	2	505	445	
8	3	1	475	486	
8	3	2	475	494	
8	4	1	475	475	
8	4	2	451	475	
8	5	1	464	475	
8	5	2	510	472	
