Week	Day	Shift	Weld L1	Weld L2
1	1	1	475	475	
1	1	2	475	475	
1	2	1	475	438	
1	2	2	465	512	
1	3	1	462	475	
1	3	2	444	475	
1	4	1	490	475	
1	4	2	468	443	
1	5	1	449	449	
1	5	2	478	489	
2	1	1	505	495	
2	1	2	514	493	
2	2	1	448	468	
2	2	2	468	485	
2	3	1	503	478	
2	3	2	446	475	
2	4	1	506	475	
2	4	2	479	421	
2	5	1	461	457	
2	5	2	489	519	
3	1	1	475	479	
3	1	2	475	490	
3	2	1	475	484	
3	2	2	458	467	
3	3	1	433	483	
3	3	2	525	475	
3	4	1	456	475	
3	4	2	503	475	
3	5	1	475	475	
3	5	2	466	472	
4	1	1	481	478	
4	1	2	478	475	
4	2	1	475	450	
4	2	2	462	497	
4	3	1	477	478	
4	3	2	464	475	
4	4	1	461	475	
4	4	2	511	475	
4	5	1	475	475	
4	5	2	475	457	
5	1	1	412	493	
5	1	2	459	475	
5	2	1	462	475	
5	2	2	507	470	
5	3	1	479	480	
5	3	2	481	475	
5	4	1	500	475	
5	4	2	495	475	
5	5	1	480	475	
5	5	2	464	475	
6	1	1	486	475	
6	1	2	475	475	
6	2	1	436	453	
6	2	2	508	497	
6	3	1	477	475	
6	3	2	455	475	
6	4	1	499	475	
6	4	2	433	472	
6	5	1	476	443	
6	5	2	478	510	
7	1	1	504	475	
7	1	2	435	448	
7	2	1	476	481	
7	2	2	503	488	
7	3	1	495	483	
7	3	2	475	475	
7	4	1	475	475	
7	4	2	475	475	
7	5	1	473	445	
7	5	2	423	505	
8	1	1	501	475	
8	1	2	503	475	
8	2	1	475	475	
8	2	2	475	475	
8	3	1	475	475	
8	3	2	469	475	
8	4	1	459	475	
8	4	2	444	457	
8	5	1	494	493	
8	5	2	501	468	
