Week	Day	Shift	Weld L1	Weld L2
1	1	1	475	428	
1	1	2	475	522	
1	2	1	475	475	
1	2	2	413	475	
1	3	1	470	451	
1	3	2	480	453	
1	4	1	489	465	
1	4	2	434	462	
1	5	1	487	470	
1	5	2	499	491	
2	1	1	469	505	
2	1	2	532	503	
2	2	1	477	475	
2	2	2	475	455	
2	3	1	433	495	
2	3	2	458	475	
2	4	1	532	471	
2	4	2	477	479	
2	5	1	475	475	
2	5	2	475	475	
3	1	1	475	472	
3	1	2	468	478	
3	2	1	470	475	
3	2	2	487	475	
3	3	1	475	448	
3	3	2	475	455	
3	4	1	475	492	
3	4	2	465	499	
3	5	1	485	447	
3	5	2	466	500	
4	1	1	442	484	
4	1	2	485	475	
4	2	1	498	475	
4	2	2	484	462	
4	3	1	475	477	
4	3	2	475	486	
4	4	1	475	475	
4	4	2	475	475	
4	5	1	475	475	
4	5	2	475	475	
5	1	1	475	471	
5	1	2	475	479	
5	2	1	459	475	
5	2	2	491	475	
5	3	1	475	474	
5	3	2	457	476	
5	4	1	480	475	
5	4	2	488	465	
5	5	1	475	427	
5	5	2	475	469	
6	1	1	475	455	
6	1	2	475	479	
6	2	1	475	455	
6	2	2	475	490	
6	3	1	475	486	
6	3	2	474	463	
6	4	1	476	522	
6	4	2	475	494	
6	5	1	475	467	
6	5	2	475	477	
7	1	1	441	498	
7	1	2	509	478	
7	2	1	475	475	
7	2	2	475	475	
7	3	1	475	475	
7	3	2	475	475	
7	4	1	425	475	
7	4	2	525	458	
7	5	1	475	492	
7	5	2	475	475	
8	1	1	475	449	
8	1	2	450	501	
8	2	1	484	475	
8	2	2	482	475	
8	3	1	471	475	
8	3	2	475	475	
8	4	1	487	475	
8	4	2	476	439	
8	5	1	475	481	
8	5	2	475	505	
