Week	Day	Shift	Weld L1	Weld L2
1	1	1	475	428	
1	1	2	475	522	
1	2	1	475	475	
1	2	2	413	475	
1	3	1	471	452	
1	3	2	481	452	
1	4	1	489	465	
1	4	2	432	461	
1	5	1	488	470	
1	5	2	498	491	
2	1	1	468	505	
2	1	2	532	504	
2	2	1	478	475	
2	2	2	475	456	
2	3	1	434	494	
2	3	2	465	475	
2	4	1	526	471	
2	4	2	475	479	
2	5	1	450	475	
2	5	2	485	475	
3	1	1	490	472	
3	1	2	469	478	
3	2	1	470	475	
3	2	2	486	475	
3	3	1	475	447	
3	3	2	475	455	
3	4	1	475	494	
3	4	2	465	498	
3	5	1	485	447	
3	5	2	465	500	
4	1	1	443	484	
4	1	2	484	475	
4	2	1	498	475	
4	2	2	485	462	
4	3	1	475	477	
4	3	2	445	486	
4	4	1	505	475	
4	4	2	475	475	
4	5	1	475	475	
4	5	2	475	475	
5	1	1	475	471	
5	1	2	475	479	
5	2	1	459	475	
5	2	2	491	475	
5	3	1	475	474	
5	3	2	456	476	
5	4	1	480	475	
5	4	2	489	465	
5	5	1	475	427	
5	5	2	475	469	
6	1	1	475	455	
6	1	2	475	479	
6	2	1	475	455	
6	2	2	475	489	
6	3	1	475	486	
6	3	2	472	464	
6	4	1	478	522	
6	4	2	475	494	
6	5	1	475	466	
6	5	2	475	478	
7	1	1	441	499	
7	1	2	509	477	
7	2	1	472	475	
7	2	2	478	475	
7	3	1	475	475	
7	3	2	475	475	
7	4	1	425	475	
7	4	2	525	458	
7	5	1	475	492	
7	5	2	475	475	
8	1	1	475	449	
8	1	2	450	501	
8	2	1	484	475	
8	2	2	486	475	
8	3	1	472	475	
8	3	2	475	475	
8	4	1	456	435	
8	4	2	491	444	
8	5	1	486	484	
8	5	2	475	506	
