Week	Day	Shift	Weld L1	Weld L2
1	1	1	435	464	
1	1	2	453	486	
1	2	1	516	475	
1	2	2	496	467	
1	3	1	475	454	
1	3	2	475	471	
1	4	1	475	508	
1	4	2	475	475	
1	5	1	475	475	
1	5	2	456	475	
2	1	1	490	475	
2	1	2	452	475	
2	2	1	474	471	
2	2	2	468	479	
2	3	1	509	475	
2	3	2	456	475	
2	4	1	433	475	
2	4	2	492	475	
2	5	1	520	475	
2	5	2	475	475	
3	1	1	475	475	
3	1	2	475	475	
3	2	1	475	475	
3	2	2	475	475	
3	3	1	475	475	
3	3	2	472	451	
3	4	1	446	499	
3	4	2	496	475	
3	5	1	486	475	
3	5	2	475	475	
4	1	1	475	475	
4	1	2	475	475	
4	2	1	458	475	
4	2	2	491	475	
4	3	1	476	475	
4	3	2	475	475	
4	4	1	475	475	
4	4	2	475	465	
4	5	1	465	485	
4	5	2	473	440	
5	1	1	487	477	
5	1	2	475	489	
5	2	1	475	455	
5	2	2	475	474	
5	3	1	472	492	
5	3	2	478	485	
5	4	1	448	448	
5	4	2	502	499	
5	5	1	475	490	
5	5	2	474	476	
6	1	1	476	475	
6	1	2	465	448	
6	2	1	439	481	
6	2	2	444	467	
6	3	1	452	480	
6	3	2	496	474	
6	4	1	475	464	
6	4	2	536	500	
6	5	1	483	486	
6	5	2	458	475	
7	1	1	452	471	
7	1	2	504	479	
7	2	1	485	475	
7	2	2	486	475	
7	3	1	475	475	
7	3	2	424	475	
7	4	1	475	475	
7	4	2	513	475	
7	5	1	488	475	
7	5	2	475	475	
8	1	1	434	475	
8	1	2	477	475	
8	2	1	514	475	
8	2	2	475	465	
8	3	1	442	485	
8	3	2	502	475	
8	4	1	458	469	
8	4	2	498	481	
8	5	1	475	475	
8	5	2	475	475	
